year,temperature
1940,6.567945205479453
1941,7.292602739726028
1942,7.507671232876713
1943,9.376986301369863
1944,9.037158469945355
1945,9.132876712328768
1946,8.956712328767123
1947,8.356712328767124
1948,9.338524590163935
1949,9.536164383561644
1950,9.187397260273972
1951,9.38986301369863
1952,8.255737704918033
1953,9.822739726027399
1954,8.073424657534247
1955,7.902465753424658
1956,7.2658469945355195
1957,9.137260273972602
1958,8.638356164383561
1959,9.688493150684932
1960,8.891256830601092
1961,9.395342465753425
1962,7.909315068493151
1963,7.701917808219178
1964,8.660382513661201
1965,7.986027397260274
1966,8.876712328767123
1967,9.932602739726027
1968,8.814754098360655
1969,7.773150684931506
1970,7.910136986301369
1971,9.275342465753425
1972,8.539071038251366
1973,8.912602739726028
1974,9.411506849315067
1975,9.716164383561644
1976,8.829781420765027
1977,9.126027397260273
1978,8.504657534246574
1979,8.027945205479451
1980,7.775136612021857
1981,8.82054794520548
1982,9.804657534246575
1983,9.903561643835618
1984,8.715300546448088
1985,8.221369863013699
1986,8.513150684931507
1987,7.699452054794521
1988,9.784426229508197
1989,10.54082191780822
1990,10.326301369863014
1991,9.210684931506849
1992,10.175409836065572
1993,8.936438356164384
1994,10.114246575342465
1995,9.401643835616438
1996,7.504644808743169
1997,9.206575342465754
1998,9.56
1999,10.262191780821917
2000,10.525409836065574
2001,9.292054794520547
2002,9.842739726027396
2003,9.886027397260275
2004,9.676502732240436
2005,9.60082191780822
2006,10.335068493150686
2007,10.59917808219178
2008,10.45464480874317
2009,9.758356164383562
2010,8.172054794520548
2011,10.19095890410959
2012,9.637158469945355
2013,9.328493150684931
2014,11.03041095890411
2015,10.775342465753425
2016,10.409289617486339
2017,9.974794520547945
2018,11.191232876712329
2019,11.46027397260274
2020,11.278415300546447
2021,9.795342465753425
2022,10.99945205479452
2023,11.147397260273973
2024,11.75464480874317
