month_year,0Berlin,0Brooklyn
2015-06,6,4
2015-07,13,12
2015-08,7,6
2015-09,13,8
2015-10,9,6
2015-11,14,5
2015-12,10,13
2016-01,8,2
2016-02,9,8
2016-03,10,6
2016-04,11,13
2016-05,8,12
2016-06,12,9
2016-07,11,13
2016-08,5,11
2016-09,3,10
2016-10,16,9
2016-11,8,6
2016-12,10,8
2017-01,4,13
2017-02,11,3
2017-03,13,10
2017-04,12,10
2017-05,8,12
2017-06,17,13
2017-07,15,15
2017-08,13,13
2017-09,10,8
2017-10,14,12
2017-11,17,9
2017-12,14,6
2018-01,14,6
2018-02,3,16
2018-03,11,6
2018-04,7,11
2018-05,2,13
2018-06,7,13
2018-07,5,15
2018-08,4,16
2018-09,7,18
2018-10,7,14
2018-11,5,12
2018-12,13,10
2019-01,13,6
2019-02,6,7
2019-03,16,7
2019-04,4,17
2019-05,9,17
2019-06,7,15
2019-07,8,9
2019-08,8,14
2019-09,8,9
2019-10,12,17
2019-11,17,9
2019-12,8,10
2020-01,9,7
2020-02,20,13
2020-03,11,15
2020-04,2,14
2020-05,9,10
2020-06,11,9
2020-07,14,9
2020-08,7,12
2020-09,8,8
2020-10,11,9
2020-11,4,10
2020-12,6,8
2021-01,6,6
2021-02,6,8
2021-03,9,9
2021-04,8,12
2021-05,19,11
2021-06,6,10
2021-07,13,16
2021-08,17,13
2021-09,5,12
2021-10,10,10
2021-11,12,6
2021-12,8,12
2022-01,6,7
2022-02,14,8
2022-03,1,11
2022-04,8,11
2022-05,8,14
2022-06,9,11
2022-07,8,8
2022-08,6,10
2022-09,11,9
2022-10,5,11
2022-11,5,9
2022-12,12,10
2023-01,13,15
2023-02,9,8
2023-03,15,9
2023-04,12,10
2023-05,3,6
2023-06,9,12
2023-07,13,16
2023-08,13,15
2023-09,3,14
2023-10,18,9
2023-11,14,6
2023-12,16,10
2024-01,10,12
2024-02,19,6
2024-03,7,11
2024-04,11,13
2024-05,12,15
2024-06,14,8
2024-07,12,13
2024-08,4,12
2024-09,6,5
2024-10,8,1
2024-11,6,6
2024-12,12,11
2025-01,14,3
2025-02,4,6
2025-03,2,7
2025-04,5,10
2025-05,9,18
2025-06,9,5
