year,temperature,ref
1961,10.724657534246575,11.148830151957482
1962,10.57095890410959,11.148830151957482
1963,10.636164383561644,11.148830151957482
1964,10.891256830601092,11.148830151957482
1965,10.641369863013699,11.148830151957482
1966,10.87972602739726,11.148830151957482
1967,10.14109589041096,11.148830151957482
1968,10.87295081967213,11.148830151957482
1969,10.674246575342465,11.148830151957482
1970,10.712054794520547,11.148830151957482
1971,11.06027397260274,11.148830151957482
1972,10.610382513661202,11.148830151957482
1973,12.258082191780822,11.148830151957482
1974,11.563287671232878,11.148830151957482
1975,12.06082191780822,11.148830151957482
1976,11.09016393442623,11.148830151957482
1977,11.374520547945204,11.148830151957482
1978,10.390684931506849,11.148830151957482
1979,11.25095890410959,11.148830151957482
1980,11.313661202185793,11.148830151957482
1981,11.01917808219178,11.148830151957482
1982,11.095068493150684,11.148830151957482
1983,11.881917808219177,11.148830151957482
1984,11.445901639344262,11.148830151957482
1985,11.72958904109589,11.148830151957482
1986,11.575890410958904,11.148830151957482
1987,11.236986301369862,11.148830151957482
1988,11.18551912568306,11.148830151957482
1989,11.068767123287671,11.148830151957482
1990,12.50876712328767,11.148830151957482
