month_year,0_berlin,0_brooklyn
2015-06,14,15
2015-07,31,31
2015-08,31,31
2015-09,30,30
2015-10,20,27
2015-11,21,27
2015-12,22,21
2016-01,21,28
2016-02,23,25
2016-03,25,29
2016-04,30,30
2016-05,30,24
2016-06,30,27
2016-07,30,30
2016-08,29,31
2016-09,30,27
2016-10,23,26
2016-11,22,27
2016-12,15,26
2017-01,20,23
2017-02,20,26
2017-03,28,25
2017-04,28,25
2017-05,27,26
2017-06,28,30
2017-07,29,30
2017-08,31,28
2017-09,29,30
2017-10,26,26
2017-11,21,26
2017-12,15,26
2018-01,22,27
2018-02,28,21
2018-03,22,26
2018-04,28,26
2018-05,30,23
2018-06,29,29
2018-07,30,30
2018-08,30,31
2018-09,28,25
2018-10,28,28
2018-11,22,23
2018-12,12,26
2019-01,20,28
2019-02,23,26
2019-03,26,30
2019-04,29,28
2019-05,29,27
2019-06,30,29
2019-07,31,30
2019-08,31,31
2019-09,27,29
2019-10,28,24
2019-11,23,27
2019-12,22,23
2020-01,23,27
2020-02,22,22
2020-03,27,28
2020-04,30,26
2020-05,30,31
2020-06,29,29
2020-07,30,31
2020-08,31,31
2020-09,27,30
2020-10,25,25
2020-11,25,26
2020-12,25,25
2021-01,12,27
2021-02,22,18
2021-03,29,29
2021-04,28,28
2021-05,28,28
2021-06,29,30
2021-07,30,31
2021-08,30,30
2021-09,29,28
2021-10,28,30
2021-11,18,29
2021-12,10,25
2022-01,15,25
2022-02,22,24
2022-03,31,27
2022-04,28,28
2022-05,31,28
2022-06,30,30
2022-07,31,31
2022-08,30,31
2022-09,29,29
2022-10,30,25
2022-11,24,27
2022-12,15,22
2023-01,18,24
2023-02,21,25
2023-03,27,28
2023-04,25,26
2023-05,30,30
2023-06,29,29
2023-07,31,31
2023-08,29,30
2023-09,30,26
2023-10,25,28
2023-11,25,29
2023-12,15,26
2024-01,19,21
2024-02,20,27
2024-03,30,24
2024-04,29,27
2024-05,31,28
2024-06,30,30
2024-07,31,31
2024-08,31,30
2024-09,28,24
2024-10,29,31
2024-11,21,29
2024-12,16,26
2025-01,20,27
2025-02,21,24
2025-03,30,27
2025-04,28,25
2025-05,31,26
2025-06,15,14
