,day,sunny_flag_brooklyn,weather_description_brooklyn,sunny_flag_berlin,weather_description_berlin
3264,2024-06-21,False,Rain,False,Rain
3265,2024-06-22,False,Rain,False,Heavy Drizzle
3266,2024-06-23,False,Rain,False,Cloudy
3267,2024-06-24,False,Rain,False,Light Drizzle
3268,2024-06-25,False,Heavy Drizzle,False,Cloudy
3269,2024-06-26,False,Drizzle,False,Cloudy
3270,2024-06-27,False,Light Drizzle,False,Heavy Rain
3271,2024-06-28,False,Rain,False,Rain
3272,2024-06-29,False,Light Rain,False,Light Drizzle
3273,2024-06-30,False,Light Rain,False,Rain
3274,2024-07-01,False,Heavy Snow,False,Rain
3275,2024-07-02,False,Heavy Snow,False,Light Drizzle
3276,2024-07-03,False,Drizzle,False,Light Drizzle
3277,2024-07-04,False,Light Drizzle,False,Light Rain
3278,2024-07-05,False,Snow,False,Cloudy
3279,2024-07-06,False,Drizzle,False,Light Drizzle
3280,2024-07-07,False,Rain,False,Cloudy
3281,2024-07-08,False,Snow,False,Cloudy
3282,2024-07-09,False,Heavy Snow,False,Cloudy
3283,2024-07-10,False,Light Rain,False,Heavy Drizzle
3284,2024-07-11,False,Light Rain,False,Rain
3285,2024-07-12,False,Drizzle,False,Drizzle
3286,2024-07-13,False,Drizzle,False,Light Rain
3287,2024-07-14,False,Light Rain,False,Heavy Drizzle
3288,2024-07-15,False,Light Drizzle,False,Cloudy
3289,2024-07-16,False,Light Drizzle,False,Heavy Drizzle
3290,2024-07-17,False,Drizzle,False,Light Drizzle
3291,2024-07-18,False,Light Rain,False,Cloudy
3292,2024-07-19,False,Drizzle,False,Cloudy
3293,2024-07-20,False,Drizzle,False,Cloudy
3294,2024-07-21,False,Light Drizzle,False,Drizzle
3295,2024-07-22,False,Drizzle,False,Drizzle
3296,2024-07-23,False,Rain,False,Heavy Drizzle
3297,2024-07-24,False,Light Rain,False,Drizzle
3298,2024-07-25,False,Light Drizzle,False,Cloudy
3299,2024-07-26,False,Mainly Sunny,False,Drizzle
3300,2024-07-27,False,Drizzle,False,Rain
3301,2024-07-28,False,Light Drizzle,False,Rain
3302,2024-07-29,False,Drizzle,False,Cloudy
