,day,is_very_sunny_brooklyn,is_very_sunny_berlin
3263,2024-06-20,True,True
3264,2024-06-21,False,False
3265,2024-06-22,False,False
3266,2024-06-23,False,False
3267,2024-06-24,False,True
3268,2024-06-25,True,True
3269,2024-06-26,True,True
3270,2024-06-27,True,False
3271,2024-06-28,True,True
3272,2024-06-29,True,True
3273,2024-06-30,True,False
3274,2024-07-01,False,False
3275,2024-07-02,False,False
3276,2024-07-03,True,False
3277,2024-07-04,True,False
3278,2024-07-05,True,False
3279,2024-07-06,True,False
3280,2024-07-07,True,True
3281,2024-07-08,False,False
3282,2024-07-09,True,True
3283,2024-07-10,False,True
3284,2024-07-11,True,True
3285,2024-07-12,True,False
3286,2024-07-13,False,False
3287,2024-07-14,False,True
3288,2024-07-15,True,True
3289,2024-07-16,True,False
3290,2024-07-17,True,True
3291,2024-07-18,False,True
3292,2024-07-19,True,True
3293,2024-07-20,True,True
3294,2024-07-21,False,True
3295,2024-07-22,True,False
3296,2024-07-23,False,True
3297,2024-07-24,True,True
3298,2024-07-25,True,True
3299,2024-07-26,True,False
3300,2024-07-27,True,False
3301,2024-07-28,True,False
3302,2024-07-29,True,True
3303,2024-07-30,False,True
3304,2024-07-31,True,False
3305,2024-08-01,True,True
3306,2024-08-02,False,False
3307,2024-08-03,True,True
3308,2024-08-04,True,False
3309,2024-08-05,True,False
3310,2024-08-06,True,True
3311,2024-08-07,True,True
3312,2024-08-08,True,False
3313,2024-08-09,False,False
3314,2024-08-10,True,True
3315,2024-08-11,True,True
3316,2024-08-12,True,True
3317,2024-08-13,True,True
3318,2024-08-14,True,True
3319,2024-08-15,True,True
3320,2024-08-16,True,True
3321,2024-08-17,True,True
3322,2024-08-18,False,False
3323,2024-08-19,True,False
3324,2024-08-20,True,True
3325,2024-08-21,True,True
3326,2024-08-22,True,False
3327,2024-08-23,True,False
3328,2024-08-24,True,True
3329,2024-08-25,True,False
3330,2024-08-26,True,False
3331,2024-08-27,True,True
3332,2024-08-28,False,True
3333,2024-08-29,False,True
3334,2024-08-30,True,False
3335,2024-08-31,True,False
3336,2024-09-01,True,True
3337,2024-09-02,True,True
3338,2024-09-03,True,True
3339,2024-09-04,True,True
3340,2024-09-05,True,True
3341,2024-09-06,False,True
3342,2024-09-07,False,True
3343,2024-09-08,True,True
3344,2024-09-09,False,False
3345,2024-09-10,True,False
3346,2024-09-11,True,False
3347,2024-09-12,True,False
3348,2024-09-13,True,False
3349,2024-09-14,True,True
3350,2024-09-15,True,False
3351,2024-09-16,False,False
3352,2024-09-17,False,True
3353,2024-09-18,True,True
3354,2024-09-19,True,True
3355,2024-09-20,True,True
3356,2024-09-21,True,True
3357,2024-09-22,True,True
3358,2024-09-23,True,True
3359,2024-09-24,True,False
3360,2024-09-25,False,False
3361,2024-09-26,False,False
3362,2024-09-27,False,True
3363,2024-09-28,True,True
3364,2024-09-29,True,True
3365,2024-09-30,False,True
3366,2024-10-01,True,False
3367,2024-10-02,False,False
3368,2024-10-03,False,False
3369,2024-10-04,False,True
3370,2024-10-05,True,False
3371,2024-10-06,False,False
3372,2024-10-07,False,False
3373,2024-10-08,True,False
3374,2024-10-09,True,False
3375,2024-10-10,True,False
3376,2024-10-11,True,True
3377,2024-10-12,False,False
3378,2024-10-13,True,True
3379,2024-10-14,True,False
3380,2024-10-15,False,True
3381,2024-10-16,False,True
3382,2024-10-17,True,True
3383,2024-10-18,True,True
3384,2024-10-19,True,False
3385,2024-10-20,True,False
3386,2024-10-21,True,False
3387,2024-10-22,True,False
3388,2024-10-23,False,True
3389,2024-10-24,False,False
