,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,humidity_brooklyn,temperature_brooklyn,feels_like_brooklyn,rain_brooklyn,snowfall_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn,rain_day_berlin,rain_day_brooklyn
0,2015-07-15,3,71,18.3,17.6,0.0,0.0,11.526563888888887,16.363972222222223,Wednesday,Cloudy,1,49,18.4,17.2,0.0,0.0,13.732266666666668,14.803808333333333,2015-07,2015,7,summer,Wednesday,Mainly Sunny,False,False,False,0.7043866692242272,0.9276171615749778,False,True,False,False
1,2015-07-16,51,67,20.3,20.5,0.1,0.0,12.943116666666668,16.325991666666667,Thursday,Light Drizzle,2,54,18.3,17.6,0.0,0.0,13.720197222222222,14.781047222222222,2015-07,2015,7,summer,Thursday,Partly Cloudy,False,False,False,0.7927920662297697,0.928229036545862,False,True,False,False
2,2015-07-17,3,67,23.1,24.1,0.0,0.0,14.145763888888888,16.286949999999997,Friday,Cloudy,61,73,16.2,16.3,2.8,0.0,13.20486111111111,14.75761388888889,2015-07,2015,7,summer,Friday,Light Rain,False,False,False,0.8685336351427917,0.8947829378469606,True,True,False,True
3,2015-07-18,51,67,22.7,23.2,0.3,0.0,14.633294444444443,16.2469,Saturday,Light Drizzle,61,81,14.8,14.9,3.4,0.0,11.730808333333334,14.733536111111112,2015-07,2015,7,summer,Saturday,Light Rain,False,False,True,0.9006822498103911,0.7961977521802585,True,False,False,True
4,2015-07-19,63,80,18.7,18.9,11.3,0.0,7.333480555555555,16.205838888888888,Sunday,Rain,53,82,13.7,13.2,3.3,0.0,10.386319444444444,14.708763888888887,2015-07,2015,7,summer,Sunday,Drizzle,False,False,True,0.4525208849622444,0.70613135970524,False,False,True,True
5,2015-07-20,2,61,19.3,17.6,0.0,0.0,14.5517,16.163408333333333,Monday,Partly Cloudy,53,77,15.5,15.6,1.6,0.0,9.975124999999998,14.683091666666666,2015-07,2015,7,summer,Monday,Drizzle,False,False,False,0.9002866041557861,0.679361351577296,True,False,False,True
6,2015-07-21,53,66,22.1,22.2,2.3,0.0,14.136161111111113,16.11959722222222,Tuesday,Drizzle,61,76,15.0,14.8,1.8,0.0,11.37942222222222,14.656544444444444,2015-07,2015,7,summer,Tuesday,Light Rain,False,False,False,0.876954983194197,0.7764055344256526,True,False,True,True
7,2015-07-22,53,66,23.2,24.3,1.1,0.0,11.194572222222222,16.074472222222223,Wednesday,Drizzle,51,76,14.7,14.3,0.3,0.0,12.697969444444444,14.629155555555556,2015-07,2015,7,summer,Wednesday,Light Drizzle,False,False,False,0.6964192707208289,0.8679905956446183,False,True,True,False
8,2015-07-23,63,67,20.4,20.0,15.9,0.0,11.441797222222222,16.02811111111111,Thursday,Rain,51,76,15.7,15.8,0.3,0.0,13.068516666666667,14.600975,2015-07,2015,7,summer,Thursday,Light Drizzle,False,False,False,0.7138581173355147,0.895044109497254,False,True,True,False
9,2015-07-24,3,66,19.4,19.0,0.0,0.0,12.808736111111113,15.980591666666664,Friday,Cloudy,51,73,15.6,15.4,0.6,0.0,13.108511111111111,14.572033333333334,2015-07,2015,7,summer,Friday,Light Drizzle,False,False,False,0.8015182652985491,0.8995663687596408,True,True,False,False
