latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,37.0,0,GMT,GMT

time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),sunshine_duration (s)
2015-06-16,12.3,0.00,0.00,17109.14
2015-06-17,15.2,0.50,0.00,46747.82
2015-06-18,15.9,4.20,0.00,30454.32
2015-06-19,14.3,0.10,0.00,52821.24
2015-06-20,13.8,3.10,0.00,46659.14
2015-06-21,14.2,0.00,0.00,26066.26
2015-06-22,14.4,8.90,0.00,21880.83
2015-06-23,13.1,13.50,0.00,24110.25
2015-06-24,13.6,0.50,0.00,2271.90
2015-06-25,17.1,0.00,0.00,51155.33
2015-06-26,17.7,1.50,0.00,31287.19
2015-06-27,18.7,4.90,0.00,31179.31
2015-06-28,17.4,0.00,0.00,35172.22
2015-06-29,19.7,0.50,0.00,46845.54
2015-06-30,19.9,0.00,0.00,53486.46
2015-07-01,20.1,0.00,0.00,54707.33
2015-07-02,23.0,0.00,0.00,54677.95
2015-07-03,26.0,0.00,0.00,53392.03
2015-07-04,28.8,0.00,0.00,52077.23
2015-07-05,29.7,0.60,0.00,53751.68
2015-07-06,22.7,1.50,0.00,48691.36
2015-07-07,24.2,9.30,0.00,49147.95
2015-07-08,20.0,1.50,0.00,50202.26
2015-07-09,15.8,3.00,0.00,40042.86
2015-07-10,14.8,0.00,0.00,30058.95
2015-07-11,16.8,0.00,0.00,44835.59
2015-07-12,18.3,4.30,0.00,20602.98
2015-07-13,16.8,8.90,0.00,4097.21
2015-07-14,17.1,8.40,0.00,19167.02
2015-07-15,18.3,0.00,0.00,41495.63
2015-07-16,20.5,0.10,0.00,46595.22
2015-07-17,23.4,0.00,0.00,50924.75
2015-07-18,22.5,0.30,0.00,52679.86
2015-07-19,18.6,11.30,0.00,26400.53
2015-07-20,19.4,0.20,0.00,52386.12
2015-07-21,22.2,2.10,0.00,50890.18
2015-07-22,23.4,7.40,0.00,40300.46
2015-07-23,20.0,9.60,0.00,41190.47
2015-07-24,19.7,0.00,0.00,46111.45
2015-07-25,21.5,3.50,0.00,45899.64
2015-07-26,16.4,0.00,0.00,44423.42
2015-07-27,16.8,4.10,0.00,23162.52
2015-07-28,17.6,0.00,0.00,50483.52
2015-07-29,16.7,0.40,0.00,49068.84
2015-07-30,16.0,0.10,0.00,37178.50
2015-07-31,15.2,0.00,0.00,39243.63
2015-08-01,17.9,0.00,0.00,44439.25
2015-08-02,21.4,0.00,0.00,50479.37
2015-08-03,23.6,0.00,0.00,50384.13
2015-08-04,26.4,0.00,0.00,49157.72
2015-08-05,21.9,0.00,0.00,43326.50
2015-08-06,25.5,0.00,0.00,49803.70
2015-08-07,28.8,0.00,0.00,49716.30
2015-08-08,26.1,0.40,0.00,49628.86
2015-08-09,22.4,0.00,0.00,49540.98
2015-08-10,25.1,0.00,0.00,49440.47
2015-08-11,26.8,0.70,0.00,49362.26
2015-08-12,23.4,0.00,0.00,45637.67
2015-08-13,23.8,0.00,0.00,48355.58
2015-08-14,27.7,0.00,0.00,49052.30
2015-08-15,25.4,2.00,0.00,43199.20
2015-08-16,23.5,4.30,0.00,37417.86
2015-08-17,23.1,2.10,0.00,35443.75
2015-08-18,19.0,5.80,0.00,11376.44
2015-08-19,19.8,0.00,0.00,46618.03
2015-08-20,19.3,0.00,0.00,46915.79
2015-08-21,19.5,0.00,0.00,45922.28
2015-08-22,20.2,0.00,0.00,40178.54
2015-08-23,20.0,0.00,0.00,45995.08
2015-08-24,21.7,3.30,0.00,28572.82
2015-08-25,18.9,10.90,0.00,35702.77
2015-08-26,20.6,0.00,0.00,44186.04
2015-08-27,22.4,0.80,0.00,39600.00
2015-08-28,17.8,6.40,0.00,16027.24
2015-08-29,18.3,0.00,0.00,44279.77
2015-08-30,22.8,0.00,0.00,43885.12
2015-08-31,26.1,0.00,0.00,42670.00
2015-09-01,22.4,3.00,0.00,40533.25
2015-09-02,17.0,0.00,0.00,42090.31
2015-09-03,16.0,7.00,0.00,33719.06
2015-09-04,15.1,2.00,0.00,39600.00
2015-09-05,14.2,2.80,0.00,35104.42
2015-09-06,12.9,6.30,0.00,16617.00
2015-09-07,13.7,0.00,0.00,43200.00
2015-09-08,14.0,0.10,0.00,40990.27
2015-09-09,13.3,1.30,0.00,40136.19
2015-09-10,13.7,3.30,0.00,40429.16
2015-09-11,14.7,3.80,0.00,24382.98
2015-09-12,16.4,0.00,0.00,42522.66
2015-09-13,18.9,1.00,0.00,36297.97
2015-09-14,18.3,3.00,0.00,22302.32
2015-09-15,16.5,0.40,0.00,31435.41
2015-09-16,17.6,0.00,0.00,23994.80
2015-09-17,18.6,6.80,0.00,28207.50
2015-09-18,15.8,0.00,0.00,37608.72
2015-09-19,14.9,2.40,0.00,38256.41
2015-09-20,12.9,0.60,0.00,29964.00
2015-09-21,13.2,0.00,0.00,29895.05
2015-09-22,15.7,0.80,0.00,24500.85
2015-09-23,13.3,1.10,0.00,10915.85
2015-09-24,13.6,0.00,0.00,33992.07
2015-09-25,14.1,0.00,0.00,36880.63
2015-09-26,13.0,0.00,0.00,35790.38
2015-09-27,11.8,0.00,0.00,35483.25
2015-09-28,12.0,0.00,0.00,37038.47
2015-09-29,11.8,0.00,0.00,36319.49
2015-09-30,11.3,0.00,0.00,33650.91
2015-10-01,10.8,0.00,0.00,36427.58
2015-10-02,11.2,0.00,0.00,36401.13
2015-10-03,11.9,0.00,0.00,36383.54
2015-10-04,13.6,0.00,0.00,33861.68
2015-10-05,13.3,0.00,0.00,36046.73
2015-10-06,14.7,0.00,0.00,8105.28
2015-10-07,13.4,7.30,0.00,106.27
2015-10-08,8.6,14.50,0.00,0.00
2015-10-09,8.4,3.70,0.00,30464.44
2015-10-10,6.5,0.00,0.00,35402.45
2015-10-11,5.2,0.00,0.00,35260.57
2015-10-12,4.2,0.00,0.00,35118.54
2015-10-13,4.4,0.00,0.00,39.74
2015-10-14,5.5,11.20,0.00,0.00
2015-10-15,6.8,7.70,0.00,0.00
2015-10-16,7.5,14.80,0.00,0.00
2015-10-17,8.4,6.50,0.00,0.00
2015-10-18,8.3,0.20,0.00,338.34
2015-10-19,7.8,3.70,0.00,0.00
2015-10-20,9.1,1.40,0.00,1507.51
2015-10-21,8.7,0.30,0.00,16643.11
2015-10-22,9.2,0.50,0.00,7944.18
2015-10-23,11.2,0.00,0.00,20845.99
2015-10-24,9.8,0.00,0.00,30435.22
2015-10-25,9.6,0.00,0.00,10428.65
2015-10-26,6.8,0.00,0.00,25464.88
2015-10-27,8.5,0.00,0.00,30675.67
2015-10-28,8.1,0.00,0.00,29968.49
2015-10-29,7.8,0.00,0.00,22166.96
2015-10-30,8.8,0.00,0.00,0.00
2015-10-31,10.0,0.00,0.00,29748.35
2015-11-01,9.0,0.00,0.00,29373.00
2015-11-02,5.9,0.00,0.00,29154.66
2015-11-03,3.9,0.00,0.00,28913.92
2015-11-04,2.7,0.00,0.00,5969.87
2015-11-05,7.3,2.30,0.00,24066.19
2015-11-06,10.6,0.60,0.00,20628.50
2015-11-07,14.4,5.70,0.00,0.00
2015-11-08,12.4,0.10,0.00,26648.01
2015-11-09,13.1,2.60,0.00,13008.42
2015-11-10,13.8,0.60,0.00,0.00
2015-11-11,13.0,0.70,0.00,0.00
2015-11-12,11.3,0.00,0.00,12823.03
2015-11-13,10.9,2.60,0.00,13136.47
2015-11-14,7.5,0.20,0.00,25447.59
2015-11-15,9.8,20.10,0.00,0.00
2015-11-16,10.8,5.50,0.00,7581.28
2015-11-17,11.6,7.70,0.00,0.00
2015-11-18,11.3,6.70,0.00,6436.12
2015-11-19,11.1,1.50,0.00,23436.51
2015-11-20,7.4,1.40,0.00,22764.02
2015-11-21,4.0,1.70,0.00,18708.29
2015-11-22,1.1,0.50,0.00,24524.98
2015-11-23,-0.5,0.70,0.91,3966.43
2015-11-24,0.4,0.00,0.00,24430.87
2015-11-25,2.8,0.00,0.07,0.00
2015-11-26,3.7,0.00,0.00,893.31
2015-11-27,1.5,0.00,0.00,154.98
2015-11-28,1.3,1.20,1.33,3897.64
2015-11-29,5.5,7.80,0.14,0.00
2015-11-30,5.7,11.00,0.00,18935.04
2015-12-01,5.5,2.50,0.00,17571.23
2015-12-02,8.9,1.20,0.00,11771.48
2015-12-03,7.0,0.00,0.00,21480.42
2015-12-04,6.7,1.10,0.00,0.00
2015-12-05,6.2,0.00,0.00,15956.13
2015-12-06,8.3,0.00,0.00,22192.55
2015-12-07,10.2,0.00,0.00,0.00
2015-12-08,7.6,0.00,0.00,21330.53
2015-12-09,6.6,0.60,0.00,0.00
2015-12-10,3.3,0.00,0.00,21843.01
2015-12-11,4.4,1.80,0.00,0.00
2015-12-12,5.0,0.70,0.00,16076.23
2015-12-13,5.3,9.50,0.00,5146.75
2015-12-14,0.8,0.00,0.00,263.09
2015-12-15,4.2,0.00,0.00,716.46
2015-12-16,5.5,0.00,0.00,8122.00
2015-12-17,10.2,1.30,0.00,0.00
2015-12-18,10.3,5.90,0.00,262.46
2015-12-19,8.9,0.00,0.00,12915.41
2015-12-20,8.7,0.00,0.00,14841.86
2015-12-21,9.3,3.30,0.00,3727.07
2015-12-22,11.2,1.10,0.00,0.00
2015-12-23,10.9,0.00,0.00,13223.89
2015-12-24,6.8,0.90,0.00,21269.04
2015-12-25,8.7,0.80,0.00,21529.75
2015-12-26,12.4,0.00,0.00,7771.86
2015-12-27,10.2,0.00,0.00,5925.91
2015-12-28,7.2,0.00,0.00,21434.40
2015-12-29,4.5,0.00,0.00,17096.74
2015-12-30,0.8,0.00,0.00,21944.87
2015-12-31,0.5,1.30,0.00,21704.23
2016-01-01,1.8,0.20,0.00,11159.08
2016-01-02,-3.1,0.00,0.00,6371.94
2016-01-03,-8.1,0.00,0.00,22323.57
2016-01-04,-6.6,0.00,0.00,10516.29
2016-01-05,-6.6,0.00,1.68,101.12
2016-01-06,-6.9,0.00,1.33,161.42
2016-01-07,-5.0,0.00,0.07,250.97
2016-01-08,2.4,0.80,1.89,21600.00
2016-01-09,-0.2,0.00,0.00,23303.62
2016-01-10,0.5,2.50,0.00,0.00
2016-01-11,2.0,3.90,0.14,0.00
2016-01-12,1.8,5.80,0.91,0.00
2016-01-13,1.0,3.10,0.42,4234.65
2016-01-14,0.7,0.10,0.21,16799.98
2016-01-15,-0.3,0.00,0.91,6263.43
2016-01-16,-0.6,0.00,0.84,3703.48
2016-01-17,-2.8,0.00,2.10,14532.14
2016-01-18,-5.1,0.00,0.00,24164.13
2016-01-19,-7.0,0.00,0.21,24630.18
2016-01-20,-3.1,0.00,0.42,14809.26
2016-01-21,-3.4,0.00,0.00,16291.78
2016-01-22,-7.3,0.00,0.00,25222.37
2016-01-23,-1.3,0.00,2.66,0.00
2016-01-24,2.6,0.60,0.00,4008.16
2016-01-25,7.1,2.70,0.00,0.00
2016-01-26,7.0,0.00,0.00,7665.52
2016-01-27,8.6,1.90,0.00,0.00
2016-01-28,6.6,1.70,0.00,21600.00
2016-01-29,4.8,0.00,0.00,5324.38
2016-01-30,7.1,5.40,0.00,0.00
2016-01-31,3.6,0.30,0.00,26479.66
2016-02-01,6.8,2.10,0.00,0.00
2016-02-02,8.7,0.90,0.00,9084.26
2016-02-03,4.9,0.00,0.00,27470.02
2016-02-04,2.2,3.10,0.07,0.00
2016-02-05,3.0,0.90,0.00,7553.35
2016-02-06,7.3,0.00,0.00,27925.99
2016-02-07,7.3,0.70,0.00,28249.00
2016-02-08,6.9,5.50,0.00,10221.87
2016-02-09,7.4,6.30,0.00,16032.84
2016-02-10,4.7,0.00,0.00,27257.73
2016-02-11,4.0,3.00,0.21,26112.31
2016-02-12,2.1,0.00,0.00,26809.83
2016-02-13,1.3,0.00,0.00,29225.54
2016-02-14,2.8,1.40,0.00,0.00
2016-02-15,2.7,0.40,0.00,0.00
2016-02-16,0.7,0.00,0.00,20851.51
2016-02-17,0.1,0.10,1.19,15540.37
2016-02-18,1.8,0.00,0.07,15905.99
2016-02-19,1.9,0.00,0.00,24191.88
2016-02-20,3.1,4.60,0.00,1609.74
2016-02-21,8.1,10.30,0.00,12533.09
2016-02-22,6.6,15.00,0.00,0.00
2016-02-23,4.5,0.00,0.00,27662.97
2016-02-24,2.4,0.00,0.00,32074.73
2016-02-25,0.3,0.40,0.42,32624.44
2016-02-26,1.0,0.00,0.00,19235.05
2016-02-27,0.2,0.00,0.00,32611.47
2016-02-28,1.9,0.00,0.00,25852.65
2016-02-29,1.1,0.00,0.14,25694.37
2016-03-01,0.9,0.00,0.00,16960.96
2016-03-02,4.0,1.10,0.14,10280.15
2016-03-03,2.5,0.00,0.00,21063.26
2016-03-04,2.7,0.00,0.00,34858.79
2016-03-05,4.8,0.00,0.00,15925.56
2016-03-06,2.3,8.60,0.07,716.33
2016-03-07,2.1,0.00,0.00,35843.81
2016-03-08,2.0,0.10,0.00,36362.30
2016-03-09,2.4,0.00,0.00,36047.99
2016-03-10,4.1,0.00,0.00,12096.90
2016-03-11,3.5,0.00,0.00,828.91
2016-03-12,2.6,0.00,0.07,0.00
2016-03-13,1.5,0.00,0.00,6087.09
2016-03-14,2.6,0.00,0.00,33493.89
2016-03-15,4.3,1.70,0.00,11523.51
2016-03-16,3.1,0.00,0.00,38455.33
2016-03-17,3.5,0.00,0.00,38627.63
2016-03-18,3.6,0.00,0.00,1033.30
2016-03-19,5.4,0.00,0.00,29702.12
2016-03-20,5.2,1.70,0.00,2644.21
2016-03-21,5.5,2.30,0.00,27137.09
2016-03-22,5.6,1.40,0.00,29027.13
2016-03-23,4.3,0.50,0.00,20389.84
2016-03-24,4.1,0.20,0.00,31117.61
2016-03-25,6.3,3.20,0.00,820.91
2016-03-26,7.9,0.00,0.00,39616.46
2016-03-27,8.4,0.20,0.00,34528.41
2016-03-28,9.0,2.00,0.00,31070.20
2016-03-29,7.2,6.80,0.00,30056.27
2016-03-30,7.3,1.80,0.00,19647.50
2016-03-31,7.0,0.50,0.00,20055.83
2016-04-01,6.7,0.30,0.00,36000.00
2016-04-02,8.0,0.00,0.00,42473.96
2016-04-03,11.1,0.00,0.00,42748.89
2016-04-04,13.3,0.00,0.00,35647.85
2016-04-05,14.2,0.30,0.00,42137.27
2016-04-06,11.8,0.40,0.00,42539.66
2016-04-07,9.8,0.00,0.00,34459.15
2016-04-08,8.1,0.00,0.00,43112.18
2016-04-09,8.8,0.00,0.00,31622.36
2016-04-10,7.5,1.40,0.00,20693.59
2016-04-11,9.2,0.00,0.00,24954.80
2016-04-12,10.6,2.70,0.00,19237.99
2016-04-13,11.5,2.00,0.00,33584.24
2016-04-14,9.0,7.40,0.00,19516.21
2016-04-15,8.8,4.60,0.00,13605.63
2016-04-16,10.7,2.50,0.00,25050.92
2016-04-17,8.8,3.10,0.00,29178.88
2016-04-18,7.5,0.00,0.00,39022.46
2016-04-19,9.2,0.10,0.00,45826.80
2016-04-20,7.9,0.00,0.00,36943.70
2016-04-21,7.9,0.00,0.00,47550.08
2016-04-22,8.0,0.00,0.00,47483.71
2016-04-23,7.0,0.00,0.00,40127.96
2016-04-24,4.6,2.10,0.00,44838.96
2016-04-25,4.7,0.40,0.07,41970.90
2016-04-26,5.5,5.70,0.07,32687.46
2016-04-27,5.3,2.60,0.21,40468.76
2016-04-28,5.9,3.40,0.00,40092.68
2016-04-29,8.3,0.00,0.00,43701.97
2016-04-30,11.9,0.00,0.00,43968.87
2016-05-01,11.8,0.00,0.00,47849.69
2016-05-02,11.9,0.00,0.00,49858.40
2016-05-03,12.7,0.00,0.00,45359.26
2016-05-04,10.0,0.60,0.00,21403.31
2016-05-05,12.4,0.00,0.00,42833.90
2016-05-06,15.3,0.00,0.00,50320.23
2016-05-07,16.8,0.00,0.00,50400.00
2016-05-08,16.8,0.00,0.00,50400.00
2016-05-09,17.7,0.00,0.00,50400.00
2016-05-10,17.7,0.00,0.00,50400.00
2016-05-11,18.1,0.00,0.00,50400.00
2016-05-12,17.9,1.40,0.00,50400.00
2016-05-13,15.9,0.20,0.00,50616.04
2016-05-14,11.3,0.00,0.00,50436.65
2016-05-15,9.4,2.50,0.00,43316.80
2016-05-16,10.1,0.00,0.00,42279.59
2016-05-17,10.2,0.90,0.00,36394.65
2016-05-18,13.4,0.00,0.00,25668.23
2016-05-19,15.7,0.00,0.00,34268.45
2016-05-20,16.3,0.00,0.00,45508.86
2016-05-21,17.6,0.80,0.00,38860.88
2016-05-22,21.1,0.00,0.00,50400.00
2016-05-23,20.3,2.80,0.00,48999.17
2016-05-24,18.2,1.10,0.00,50233.61
2016-05-25,15.6,0.40,0.00,7962.10
2016-05-26,14.8,1.70,0.00,0.00
2016-05-27,16.2,0.00,0.00,31535.37
2016-05-28,18.4,0.10,0.00,51541.20
2016-05-29,20.6,4.00,0.00,46780.76
2016-05-30,21.6,6.90,0.00,47997.55
2016-05-31,20.0,5.70,0.00,43421.89
2016-06-01,19.0,15.90,0.00,23491.59
2016-06-02,20.0,2.50,0.00,42687.13
2016-06-03,21.0,0.00,0.00,52155.32
2016-06-04,20.7,0.00,0.00,51948.25
2016-06-05,21.1,1.30,0.00,54384.54
2016-06-06,19.3,0.00,0.00,54445.15
2016-06-07,19.0,0.00,0.00,54653.73
2016-06-08,19.9,0.00,0.00,54455.75
2016-06-09,17.7,0.80,0.00,40081.20
2016-06-10,16.7,0.00,0.00,46600.40
2016-06-11,16.8,0.00,0.00,49067.64
2016-06-12,17.0,0.00,0.00,24779.71
2016-06-13,16.2,4.40,0.00,29302.12
2016-06-14,16.7,3.50,0.00,33246.59
2016-06-15,15.9,11.20,0.00,7439.09
2016-06-16,17.3,3.30,0.00,35074.85
2016-06-17,15.7,24.30,0.00,12120.13
2016-06-18,16.8,3.20,0.00,51550.46
2016-06-19,16.8,0.10,0.00,53341.57
2016-06-20,17.6,0.00,0.00,51483.13
2016-06-21,18.5,1.60,0.00,33491.79
2016-06-22,20.8,0.00,0.00,52498.96
2016-06-23,24.3,0.00,0.00,54956.13
2016-06-24,26.6,0.00,0.00,55107.46
2016-06-25,25.0,4.90,0.00,47021.72
2016-06-26,19.6,0.20,0.00,48503.16
2016-06-27,18.6,0.00,0.00,51267.65
2016-06-28,18.0,0.60,0.00,42172.71
2016-06-29,19.3,5.40,0.00,40556.98
2016-06-30,20.1,0.20,0.00,49839.45
2016-07-01,22.0,0.00,0.00,52735.44
2016-07-02,18.6,5.50,0.00,35757.96
2016-07-03,16.3,1.40,0.00,54613.40
