latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,7200,Europe/Berlin,GMT+2

time,weather_code (wmo code),relative_humidity_2m_mean (%),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),sunshine_duration (s),rain_sum (mm),snowfall_sum (cm)
2015-07-15,3,71,18.3,17.6,58910.30,41495.63,0.00,0.00
2015-07-16,51,67,20.3,20.5,58773.57,46595.22,0.10,0.00
2015-07-17,3,67,23.1,24.1,58633.02,50924.75,0.00,0.00
2015-07-18,51,67,22.7,23.2,58488.84,52679.86,0.30,0.00
2015-07-19,63,80,18.7,18.9,58341.02,26400.53,11.30,0.00
2015-07-20,2,61,19.3,17.6,58188.27,52386.12,0.00,0.00
2015-07-21,53,66,22.1,22.2,58030.55,50890.18,2.30,0.00
2015-07-22,53,66,23.2,24.3,57868.10,40300.46,1.10,0.00
2015-07-23,63,67,20.4,20.0,57701.20,41190.47,15.90,0.00
2015-07-24,3,66,19.4,19.0,57530.13,46111.45,0.00,0.00
2015-07-25,61,61,21.8,20.2,57355.11,45899.64,3.50,0.00
2015-07-26,3,59,16.5,12.8,57176.43,44423.42,0.00,0.00
2015-07-27,61,69,16.6,15.3,56994.30,23162.52,4.10,0.00
2015-07-28,3,67,17.5,15.0,56808.97,50483.52,0.00,0.00
2015-07-29,51,58,16.9,13.7,56620.68,49068.84,0.40,0.00
2015-07-30,51,57,16.1,11.8,56429.66,37178.50,0.10,0.00
2015-07-31,3,61,15.2,12.4,56236.12,39243.63,0.00,0.00
2015-08-01,3,60,17.7,16.4,56040.28,44439.25,0.00,0.00
2015-08-02,3,52,21.3,20.6,55842.36,50479.37,0.00,0.00
2015-08-03,2,55,23.3,23.2,55642.53,50384.13,0.00,0.00
2015-08-04,3,48,26.3,25.8,55441.03,49157.72,0.00,0.00
2015-08-05,3,61,22.2,22.2,55238.02,43326.50,0.00,0.00
2015-08-06,3,59,25.2,26.0,55033.71,49803.70,0.00,0.00
2015-08-07,2,48,28.5,29.1,54828.27,49716.30,0.00,0.00
2015-08-08,51,57,26.5,27.1,54621.66,49628.86,0.40,0.00
2015-08-09,3,60,22.6,22.0,54412.30,49540.98,0.00,0.00
2015-08-10,2,57,24.6,24.7,54200.01,49440.47,0.00,0.00
2015-08-11,53,52,27.0,27.8,53985.02,49362.26,0.70,0.00
2015-08-12,3,66,23.6,23.8,53767.57,45637.67,0.00,0.00
2015-08-13,3,59,23.5,22.7,53547.86,48355.58,0.00,0.00
2015-08-14,2,45,27.3,25.8,53326.09,49052.30,0.00,0.00
2015-08-15,55,61,25.9,27.5,53102.50,43199.20,1.50,0.00
2015-08-16,61,78,23.5,25.9,52877.25,37417.86,4.80,0.00
2015-08-17,53,68,23.1,23.2,52650.57,35443.75,1.90,0.00
2015-08-18,53,85,19.3,20.2,52422.62,11376.44,6.00,0.00
2015-08-19,3,74,19.9,20.4,52193.58,46618.03,0.00,0.00
2015-08-20,2,56,19.4,18.1,51963.65,46915.79,0.00,0.00
2015-08-21,3,49,19.5,17.8,51732.98,45922.28,0.00,0.00
2015-08-22,3,47,20.1,18.0,51501.75,40178.54,0.00,0.00
2015-08-23,2,50,19.8,17.5,51270.11,45995.08,0.00,0.00
2015-08-24,55,63,21.5,20.6,51038.23,28572.82,3.30,0.00
