latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.667835,-73.93768,19.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),sunshine_duration (s),snowfall_sum (cm),rain_sum (mm),relative_humidity_2m_mean (%)
2015-06-15,63,22.1,24.7,54245.02,17874.43,0.00,21.70,89
2015-06-16,63,21.6,24.0,54265.15,19290.01,0.00,8.90,88
2015-06-17,3,20.9,21.5,54281.74,32400.00,0.00,0.00,72
2015-06-18,3,18.6,18.7,54294.77,14856.77,0.00,0.00,77
2015-06-19,51,22.8,24.6,54304.23,41578.02,0.00,0.30,76
2015-06-20,53,20.1,21.1,54310.10,3575.29,0.00,0.90,85
2015-06-21,65,24.4,26.7,54312.38,32592.56,0.00,39.20,81
2015-06-22,3,24.4,25.9,54311.06,50397.64,0.00,0.00,67
2015-06-23,3,26.1,28.7,54306.13,39051.94,0.00,0.00,74
2015-06-24,3,23.1,23.7,54297.58,50400.00,0.00,0.00,62
2015-06-25,3,22.2,23.0,54285.41,35825.52,0.00,0.00,65
2015-06-26,51,22.2,23.6,54269.63,47108.28,0.00,0.10,71
2015-06-27,65,18.9,18.8,54250.23,3967.59,0.00,35.00,81
2015-06-28,65,19.8,20.7,54227.21,18103.72,0.00,33.30,88
2015-06-29,3,19.9,19.5,54200.48,39693.59,0.00,0.00,70
2015-06-30,51,21.6,22.9,54169.81,50400.00,0.00,0.30,78
2015-07-01,61,23.3,25.3,54135.25,43200.00,0.00,11.20,78
2015-07-02,3,21.1,23.0,54096.88,36438.13,0.00,0.00,78
2015-07-03,3,21.4,22.4,54054.80,46800.00,0.00,0.00,68
2015-07-04,53,21.3,22.6,54009.09,40805.79,0.00,1.50,75
2015-07-05,3,22.5,24.8,53959.86,50304.14,0.00,0.00,75
2015-07-06,51,22.5,25.1,53907.19,30362.43,0.00,0.30,84
2015-07-07,63,25.0,28.8,53851.16,40950.15,0.00,4.50,86
2015-07-08,63,25.3,28.8,53791.89,42933.69,0.00,8.00,80
2015-07-09,55,22.7,25.2,53729.45,27230.76,0.00,3.10,83
2015-07-10,51,23.9,25.4,53663.95,50070.44,0.00,0.10,70
2015-07-11,3,23.6,25.1,53595.47,48907.79,0.00,0.00,65
2015-07-12,51,24.7,26.9,53524.12,49273.65,0.00,0.10,65
2015-07-13,3,24.2,26.2,53449.97,46618.20,0.00,0.00,68
2015-07-14,61,22.9,26.0,53373.14,38150.24,0.00,6.60,86
2015-07-15,61,23.8,26.8,53293.71,6950.00,0.00,1.80,83
2015-07-16,3,21.4,21.0,53211.77,49655.09,0.00,0.00,55
2015-07-17,3,21.1,21.7,53127.41,45977.36,0.00,0.00,72
2015-07-18,53,24.4,26.7,53040.73,39624.89,0.00,2.80,77
2015-07-19,3,27.2,31.5,52951.55,47436.82,0.00,0.00,77
2015-07-20,51,28.7,32.5,52859.13,48396.91,0.00,0.20,68
2015-07-21,51,27.8,29.7,52763.56,42570.73,0.00,0.30,58
2015-07-22,3,24.7,23.3,52664.96,49150.69,0.00,0.00,45
2015-07-23,3,23.7,23.1,52563.51,46609.38,0.00,0.00,49
2015-07-24,3,23.7,23.8,52459.32,46980.27,0.00,0.00,51
2015-07-25,3,23.8,24.6,52352.56,48861.66,0.00,0.00,60
2015-07-26,3,25.8,26.8,52243.35,48017.56,0.00,0.00,61
2015-07-27,63,23.9,26.4,52131.84,39393.20,0.00,18.30,79
2015-07-28,3,26.1,29.7,52018.15,48551.39,0.00,0.00,73
2015-07-29,3,27.5,30.4,51902.43,48443.80,0.00,0.00,65
2015-07-30,63,26.3,30.0,51784.80,35957.32,0.00,8.90,82
2015-07-31,3,25.9,27.4,51665.40,48223.07,0.00,0.00,61
2015-08-01,51,25.9,26.3,51544.34,48110.15,0.00,0.70,54
2015-08-02,3,24.7,25.6,51421.76,45815.72,0.00,0.00,57
2015-08-03,3,26.5,27.2,51297.77,46307.75,0.00,0.00,56
2015-08-04,55,26.7,28.0,51172.50,47569.25,0.00,1.20,59
2015-08-05,3,25.4,25.4,51046.07,45825.95,0.00,0.00,52
2015-08-06,3,23.2,23.2,50918.58,32170.75,0.00,0.00,53
2015-08-07,3,23.6,24.5,50790.15,41399.25,0.00,0.00,62
2015-08-08,3,23.0,23.9,50660.56,30773.85,0.00,0.00,62
2015-08-09,3,23.2,23.9,50528.85,44157.82,0.00,0.00,62
2015-08-10,3,22.6,23.6,50395.08,33014.17,0.00,0.00,69
2015-08-11,63,22.6,24.7,50259.38,17350.02,0.00,30.20,86
2015-08-12,3,23.1,23.7,50121.90,46470.00,0.00,0.00,68
2015-08-13,1,22.4,23.1,49982.77,46614.78,0.00,0.00,63
2015-08-14,0,23.6,24.5,49842.12,46384.51,0.00,0.00,61
2015-08-15,1,25.4,27.2,49700.08,45064.28,0.00,0.00,62
2015-08-16,2,26.4,28.8,49556.77,44923.27,0.00,0.00,63
2015-08-17,2,27.4,29.7,49412.32,44684.36,0.00,0.00,61
2015-08-18,51,26.4,28.8,49266.84,43683.85,0.00,0.30,67
2015-08-19,51,25.2,27.9,49120.47,44006.07,0.00,0.10,76
2015-08-20,51,25.2,27.8,48973.30,39428.32,0.00,1.20,79
2015-08-21,53,25.3,28.0,48825.46,40979.80,0.00,2.50,74
2015-08-22,51,24.2,24.2,48677.05,44341.04,0.00,0.20,53
2015-08-23,51,23.0,25.0,48528.20,36818.28,0.00,1.10,75
2015-08-24,3,24.4,27.0,48378.99,42594.14,0.00,0.00,73
2015-08-25,55,25.0,27.5,48229.54,36000.00,0.00,5.00,74
2015-08-26,3,23.5,22.9,48079.95,29694.73,0.00,0.00,52
2015-08-27,3,22.5,21.9,47930.32,25541.81,0.00,0.00,55
2015-08-28,3,21.9,22.2,47780.41,37439.19,0.00,0.00,59
2015-08-29,3,23.1,23.8,47629.23,32301.86,0.00,0.00,62
2015-08-30,3,25.3,26.7,47476.79,42080.48,0.00,0.00,62
2015-08-31,3,27.0,28.1,47323.22,38192.63,0.00,0.00,56
2015-09-01,3,25.7,27.9,47168.63,43234.93,0.00,0.00,65
2015-09-02,3,25.4,28.7,47013.12,43200.00,0.00,0.00,76
2015-09-03,63,26.2,29.3,46856.80,42538.96,0.00,6.30,70
2015-09-04,51,24.5,27.1,46699.79,42528.77,0.00,0.90,79
2015-09-05,3,22.0,22.5,46542.18,42915.39,0.00,0.00,67
2015-09-06,3,22.0,23.1,46384.06,42817.18,0.00,0.00,68
2015-09-07,3,24.7,25.8,46225.55,42718.48,0.00,0.00,64
2015-09-08,3,27.3,29.0,46066.75,42619.39,0.00,0.00,61
2015-09-09,51,26.4,29.4,45907.75,39600.00,0.00,0.40,75
2015-09-10,63,23.0,26.2,45748.65,4512.44,0.00,37.70,90
2015-09-11,55,21.6,22.7,45589.54,31013.69,0.00,4.80,79
2015-09-12,63,21.3,23.1,45430.51,28149.69,0.00,10.80,86
2015-09-13,55,19.9,20.9,45271.68,16215.15,0.00,2.40,84
2015-09-14,3,18.0,15.9,45113.11,41924.60,0.00,0.00,62
2015-09-15,2,19.7,19.7,44954.92,41767.86,0.00,0.00,67
2015-09-16,3,21.4,22.8,44797.19,41611.38,0.00,0.00,73
2015-09-17,3,22.4,23.6,44639.66,41454.52,0.00,0.00,68
2015-09-18,0,21.7,22.7,44481.34,41296.57,0.00,0.00,68
2015-09-19,2,21.6,23.1,44322.21,40937.89,0.00,0.00,78
2015-09-20,2,20.9,20.2,44162.39,40977.75,0.00,0.00,65
2015-09-21,51,17.4,15.4,44001.98,33059.82,0.00,0.10,56
2015-09-22,3,18.3,17.2,43841.08,20851.02,0.00,0.00,65
2015-09-23,3,18.9,18.4,43679.80,40493.69,0.00,0.00,65
2015-09-24,3,19.7,19.2,43518.21,39903.64,0.00,0.00,64
2015-09-25,3,18.9,18.2,43356.43,36885.22,0.00,0.00,67
2015-09-26,3,17.4,16.0,43194.57,33436.11,0.00,0.00,67
2015-09-27,3,17.3,16.7,43032.70,24244.54,0.00,0.00,73
2015-09-28,51,20.1,21.7,42870.93,33795.05,0.00,0.10,84
2015-09-29,63,21.5,24.4,42709.36,13804.25,0.00,6.60,91
2015-09-30,63,20.9,21.7,42548.09,15715.51,0.00,23.70,87
2015-10-01,51,14.8,12.0,42387.22,0.00,0.00,1.30,72
2015-10-02,61,10.9,7.4,42226.86,0.00,0.00,27.20,87
2015-10-03,53,11.1,7.0,42067.09,0.00,0.00,2.20,82
2015-10-04,51,13.1,9.9,41908.02,25643.73,0.00,0.10,70
2015-10-05,3,13.4,11.4,41749.75,33847.04,0.00,0.00,74
2015-10-06,3,14.7,13.9,41592.40,38174.52,0.00,0.00,74
2015-10-07,3,16.2,15.6,41435.68,36989.39,0.00,0.00,76
2015-10-08,3,15.5,15.1,41278.50,29195.41,0.00,0.00,79
2015-10-09,63,18.4,18.6,41120.86,35787.48,0.00,6.90,83
2015-10-10,3,13.3,11.0,40962.89,37732.98,0.00,0.00,65
2015-10-11,3,13.2,11.4,40804.70,37569.62,0.00,0.00,72
2015-10-12,0,15.1,14.2,40646.39,37405.91,0.00,0.00,76
2015-10-13,3,16.8,16.5,40488.10,33610.04,0.00,0.00,80
2015-10-14,3,15.2,13.5,40329.93,26726.51,0.00,0.00,72
2015-10-15,3,12.7,10.2,40172.00,31878.14,0.00,0.00,64
2015-10-16,2,12.9,9.9,40014.43,35492.16,0.00,0.00,61
2015-10-17,2,9.4,5.2,39857.34,36490.59,0.00,0.00,57
2015-10-18,2,5.6,0.8,39700.86,36366.32,0.00,0.00,50
2015-10-19,1,5.5,1.5,39545.10,36138.51,0.00,0.00,57
2015-10-20,2,12.4,8.8,39390.21,35523.93,0.00,0.00,58
2015-10-21,3,15.1,13.8,39236.30,35511.94,0.00,0.00,69
