year,temperature
1940,10.566393442622951
1941,11.556712328767123
1942,11.343287671232877
1943,11.07013698630137
1944,11.464207650273224
1945,11.523013698630136
1946,12.293972602739727
1947,11.591506849315067
1948,11.261475409836065
1949,12.93041095890411
1950,11.243561643835616
1951,11.837534246575341
1952,11.831420765027323
1953,12.512876712328767
1954,11.46821917808219
1955,11.404383561643836
1956,10.897814207650272
1957,11.922465753424657
1958,10.271506849315069
1959,11.821917808219178
1960,10.583333333333334
1961,10.724657534246575
1962,10.57095890410959
1963,10.636164383561644
1964,10.891256830601092
1965,10.641369863013699
1966,10.87972602739726
1967,10.14109589041096
1968,10.87295081967213
1969,10.674246575342465
1970,10.712054794520547
1971,11.06027397260274
1972,10.610382513661202
1973,12.258082191780822
1974,11.563287671232878
1975,12.06082191780822
1976,11.09016393442623
1977,11.374520547945204
1978,10.390684931506849
1979,11.25095890410959
1980,11.313661202185793
1981,11.01917808219178
1982,11.095068493150684
1983,11.881917808219177
1984,11.445901639344262
1985,11.72958904109589
1986,11.575890410958904
1987,11.236986301369862
1988,11.18551912568306
1989,11.068767123287671
1990,12.50876712328767
1991,12.735068493150685
1992,10.896448087431693
1993,11.529041095890411
1994,11.303013698630139
1995,11.53068493150685
1996,10.743715846994535
1997,11.281917808219177
1998,12.773150684931506
1999,12.26109589041096
2000,10.942349726775957
2001,12.004931506849315
2002,12.473150684931506
2003,10.556438356164383
2004,11.233333333333333
2005,11.595616438356164
2006,12.565753424657535
2007,12.004931506849315
2008,12.056830601092896
2009,11.226027397260275
2010,12.53041095890411
2011,12.321095890410959
2012,13.166666666666666
2013,11.727397260273973
2014,10.92986301369863
2015,11.886575342465754
2016,12.638524590163934
2017,12.403287671232876
2018,12.12054794520548
2019,12.127123287671232
2020,12.958196721311475
2021,12.764383561643836
2022,12.502739726027396
2023,12.916986301369862
2024,12.941256830601093
