month_year,brooklyn,berlin
2015-07,7,6
2015-08,12,7
2015-09,10,13
2015-10,10,9
2015-11,4,13
2015-12,2,10
2016-01,0,8
2016-02,0,10
2016-03,5,10
2016-04,17,11
2016-05,22,8
2016-06,14,12
2016-07,16,10
2016-08,9,5
2016-09,7,3
2016-10,6,16
2016-11,1,8
2016-12,4,11
2017-01,0,4
2017-02,0,10
2017-03,0,14
2017-04,6,12
2017-05,11,9
2017-06,20,16
2017-07,19,15
2017-08,17,14
2017-09,17,9
2017-10,1,14
2017-11,0,16
2017-12,0,12
2018-01,0,15
2018-02,0,4
2018-03,1,12
2018-04,3,7
2018-05,14,2
2018-06,22,7
2018-07,20,5
2018-08,17,4
2018-09,10,7
2018-10,3,7
2018-11,0,5
2018-12,0,14
2019-01,0,13
2019-02,0,7
2019-03,1,16
2019-04,7,4
2019-05,12,9
2019-06,23,7
2019-07,12,8
2019-08,8,6
2019-09,11,9
2019-10,3,12
2019-11,0,17
2019-12,0,8
2020-01,0,9
2020-02,0,22
2020-03,0,11
2020-04,5,3
2020-05,14,9
2020-06,22,12
2020-07,23,14
2020-08,23,9
2020-09,9,8
2020-10,1,11
2020-11,0,4
2020-12,0,6
2021-01,0,7
2021-02,0,6
2021-03,0,10
2021-04,1,8
2021-05,13,17
2021-06,20,6
2021-07,18,12
2021-08,19,18
2021-09,6,5
2021-10,1,10
2021-11,0,11
2021-12,0,7
2022-01,0,6
2022-02,0,16
2022-03,0,0
2022-04,6,8
2022-05,18,9
2022-06,21,9
2022-07,12,7
2022-08,18,6
2022-09,9,11
2022-10,1,5
2022-11,0,6
2022-12,0,12
2023-01,0,12
2023-02,0,9
2023-03,0,16
2023-04,3,13
2023-05,12,2
2023-06,20,9
2023-07,17,13
2023-08,17,13
2023-09,13,3
2023-10,5,18
2023-11,0,13
2023-12,0,16
2024-01,0,10
2024-02,0,18
2024-03,2,7
2024-04,5,12
2024-05,14,11
2024-06,26,14
2024-07,25,13
2024-08,23,5
2024-09,13,8
2024-10,8,8
2024-11,3,6
2024-12,0,12
2025-01,0,15
2025-02,0,4
2025-03,1,3
2025-04,8,5
2025-05,17,8
2025-06,13,10
