year,temperature,ref
1961,9.395342465753425,8.846938917583651
1962,7.909315068493151,8.846938917583651
1963,7.701917808219178,8.846938917583651
1964,8.660382513661201,8.846938917583651
1965,7.986027397260274,8.846938917583651
1966,8.876712328767123,8.846938917583651
1967,9.932602739726027,8.846938917583651
1968,8.814754098360655,8.846938917583651
1969,7.773150684931506,8.846938917583651
1970,7.910136986301369,8.846938917583651
1971,9.275342465753425,8.846938917583651
1972,8.539071038251366,8.846938917583651
1973,8.912602739726028,8.846938917583651
1974,9.411506849315067,8.846938917583651
1975,9.716164383561644,8.846938917583651
1976,8.829781420765027,8.846938917583651
1977,9.126027397260273,8.846938917583651
1978,8.504657534246574,8.846938917583651
1979,8.027945205479451,8.846938917583651
1980,7.775136612021857,8.846938917583651
1981,8.82054794520548,8.846938917583651
1982,9.804657534246575,8.846938917583651
1983,9.903561643835618,8.846938917583651
1984,8.715300546448088,8.846938917583651
1985,8.221369863013699,8.846938917583651
1986,8.513150684931507,8.846938917583651
1987,7.699452054794521,8.846938917583651
1988,9.784426229508197,8.846938917583651
1989,10.54082191780822,8.846938917583651
1990,10.326301369863014,8.846938917583651
