,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,temperature_brooklyn,feels_like_brooklyn,snowfall_brooklyn,rain_brooklyn,humidity_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn,rain_day_berlin,rain_day_brooklyn
0,2015-07-15,3,71,18.3,17.6,0.0,0.0,11.526563888888887,16.363972222222223,Wednesday,Cloudy,61,23.8,26.8,0.0,1.8,83,1.9305555555555556,14.803808333333333,2015-07,2015,7,summer,Wednesday,Light Rain,False,False,False,0.7043866692242272,0.13040938602322863,False,False,False,True
1,2015-07-16,51,67,20.3,20.5,0.1,0.0,12.943116666666668,16.325991666666667,Thursday,Light Drizzle,3,21.4,21.0,0.0,0.0,55,13.793080555555555,14.781047222222222,2015-07,2015,7,summer,Thursday,Cloudy,False,False,False,0.7927920662297697,0.9331599005257671,False,True,False,False
2,2015-07-17,3,67,23.1,24.1,0.0,0.0,14.145763888888888,16.286949999999997,Friday,Cloudy,3,21.1,21.7,0.0,0.0,72,12.77148888888889,14.75761388888889,2015-07,2015,7,summer,Friday,Cloudy,False,False,False,0.8685336351427917,0.8654169288508511,True,True,False,False
3,2015-07-18,51,67,22.7,23.2,0.3,0.0,14.633294444444443,16.2469,Saturday,Light Drizzle,53,24.4,26.7,0.0,2.8,77,11.006913888888889,14.733536111111112,2015-07,2015,7,summer,Saturday,Drizzle,False,False,True,0.9006822498103911,0.7470653213106229,True,False,False,True
4,2015-07-19,63,80,18.7,18.9,11.3,0.0,7.333480555555555,16.205838888888888,Sunday,Rain,3,27.2,31.5,0.0,0.0,77,13.176894444444445,14.708763888888887,2015-07,2015,7,summer,Sunday,Cloudy,False,False,True,0.4525208849622444,0.8958532847480386,False,True,True,False
5,2015-07-20,2,61,19.3,17.6,0.0,0.0,14.5517,16.163408333333333,Monday,Partly Cloudy,51,28.7,32.5,0.0,0.2,68,13.443586111111111,14.683091666666666,2015-07,2015,7,summer,Monday,Light Drizzle,False,False,False,0.9002866041557861,0.915582795252211,True,True,False,False
6,2015-07-21,53,66,22.1,22.2,2.3,0.0,14.136161111111113,16.11959722222222,Tuesday,Drizzle,51,27.8,29.7,0.0,0.3,58,11.82520277777778,14.656544444444444,2015-07,2015,7,summer,Tuesday,Light Drizzle,False,False,False,0.876954983194197,0.8068206542545653,True,True,True,False
7,2015-07-22,53,66,23.2,24.3,1.1,0.0,11.194572222222222,16.074472222222223,Wednesday,Drizzle,3,24.7,23.3,0.0,0.0,45,13.652969444444444,14.629155555555556,2015-07,2015,7,summer,Wednesday,Cloudy,False,False,False,0.6964192707208289,0.9332711920791357,False,True,True,False
8,2015-07-23,63,67,20.4,20.0,15.9,0.0,11.441797222222222,16.02811111111111,Thursday,Rain,3,23.7,23.1,0.0,0.0,49,12.94705,14.600975,2015-07,2015,7,summer,Thursday,Cloudy,False,False,False,0.7138581173355147,0.8867250303490007,False,True,True,False
9,2015-07-24,3,66,19.4,19.0,0.0,0.0,12.808736111111113,15.980591666666664,Friday,Cloudy,3,23.7,23.8,0.0,0.0,51,13.050075,14.572033333333334,2015-07,2015,7,summer,Friday,Cloudy,False,False,False,0.8015182652985491,0.8955562138434123,True,True,False,False
10,2015-07-25,61,61,21.8,20.2,3.5,0.0,12.7499,15.931975,Saturday,Light Rain,3,23.8,24.6,0.0,0.0,60,13.572683333333334,14.542377777777777,2015-07,2015,7,summer,Saturday,Cloudy,False,False,True,0.8002711528231748,0.9333194021457596,True,True,True,False
11,2015-07-26,3,59,16.5,12.8,0.0,0.0,12.339838888888888,15.882341666666669,Sunday,Cloudy,3,25.8,26.8,0.0,0.0,61,13.33821111111111,14.512041666666669,2015-07,2015,7,summer,Sunday,Cloudy,False,False,True,0.7769533704710139,0.9191133416980342,False,True,False,False
12,2015-07-27,61,69,16.6,15.3,4.1,0.0,6.434033333333334,15.83175,Monday,Light Rain,63,23.9,26.4,0.0,18.3,79,10.942555555555554,14.481066666666663,2015-07,2015,7,summer,Monday,Rain,False,False,False,0.40640064006400645,0.7556456860145355,False,False,True,True
13,2015-07-28,3,67,17.5,15.0,0.0,0.0,14.0232,15.780269444444444,Tuesday,Cloudy,3,26.1,29.7,0.0,0.0,73,13.486497222222225,14.449486111111112,2015-07,2015,7,summer,Tuesday,Cloudy,False,False,False,0.888654027700203,0.9333548001995459,True,True,False,False
14,2015-07-29,51,58,16.9,13.7,0.4,0.0,13.630233333333331,15.727966666666669,Wednesday,Light Drizzle,3,27.5,30.4,0.0,0.0,65,13.456611111111112,14.417341666666667,2015-07,2015,7,summer,Wednesday,Cloudy,False,False,False,0.8666239967446521,0.9333628502557587,True,True,False,False
15,2015-07-30,51,57,16.1,11.8,0.1,0.0,10.327361111111111,15.674905555555556,Thursday,Light Drizzle,63,26.3,30.0,0.0,8.9,82,9.988144444444444,14.384666666666668,2015-07,2015,7,summer,Thursday,Rain,False,False,False,0.6588467837658423,0.6943605073303363,False,False,False,True
