,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,temperature_brooklyn,feels_like_brooklyn,snowfall_brooklyn,rain_brooklyn,humidity_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn
3272,2024-06-29,51,62,22.3,22.7,0.1,0.0,15.204208333333334,16.773894444444444,Saturday,Light Drizzle,53,22.6,22.5,0.0,0.9,79,10.427105555555556,15.0479,2024-06,2024,6,summer,Saturday,Drizzle,False,False,True,0.9064208901331798,0.6929276214990501,True,False
3273,2024-06-30,63,74,22.9,23.2,7.0,0.0,11.334691666666666,16.757805555555557,Sunday,Rain,65,26.2,29.0,0.0,16.8,83,9.474502777777776,15.038319444444443,2024-06,2024,6,summer,Sunday,Heavy Rain,False,False,True,0.676382813315851,0.630024040437438,False,False
3279,2024-07-06,51,63,21.6,20.4,0.1,0.0,12.101861111111113,16.628197222222223,Saturday,Light Drizzle,3,26.5,30.3,0.0,0.0,83,12.988916666666666,14.961388888888887,2024-07,2024,7,summer,Saturday,Cloudy,False,False,True,0.727791530818384,0.8681624923413974,False,True
3280,2024-07-07,3,52,18.7,16.3,0.0,0.0,14.114694444444444,16.601422222222222,Sunday,Cloudy,51,26.9,30.8,0.0,0.2,78,12.939977777777775,14.945491666666666,2024-07,2024,7,summer,Sunday,Light Drizzle,False,False,True,0.8502099552381054,0.8658114477851644,True,True
3286,2024-07-13,61,70,18.8,17.5,3.1,0.0,10.244791666666666,16.411852777777778,Saturday,Light Rain,63,24.7,28.7,0.0,17.5,86,9.943941666666667,14.832427777777776,2024-07,2024,7,summer,Saturday,Rain,False,False,True,0.6242312678150801,0.6704190180898686,False,False
3287,2024-07-14,55,63,19.3,18.9,1.5,0.0,14.241908333333337,16.375019444444444,Sunday,Heavy Drizzle,51,26.1,29.9,0.0,0.3,80,13.819922222222225,14.810347222222225,2024-07,2024,7,summer,Sunday,Light Drizzle,False,False,True,0.8697338272880764,0.933126145853359,True,True
3293,2024-07-20,3,48,24.7,23.8,0.0,0.0,13.98028888888889,16.125819444444442,Saturday,Cloudy,53,24.0,25.0,0.0,0.9,67,7.124505555555556,14.660202777777778,2024-07,2024,7,summer,Saturday,Drizzle,False,False,True,0.8669506028548077,0.485975921585138,True,False
3294,2024-07-21,53,51,25.7,25.9,0.8,0.0,13.01553611111111,16.080219444444445,Sunday,Drizzle,61,25.5,27.7,0.0,2.4,68,13.656219444444444,14.632575,2024-07,2024,7,summer,Sunday,Light Rain,False,False,True,0.8094128414154104,0.9332752057955926,True,True
3300,2024-07-27,63,81,20.4,21.8,9.5,0.0,1.2935333333333334,15.788,Saturday,Rain,3,24.2,24.5,0.0,0.0,57,13.491102777777778,14.454363888888889,2024-07,2024,7,summer,Saturday,Cloudy,False,False,True,0.08193142471075078,0.9333584571057069,False,True
3301,2024-07-28,63,72,19.0,17.8,14.1,0.0,11.272158333333332,15.736747222222222,Sunday,Rain,3,24.4,24.8,0.0,0.0,61,9.042955555555556,14.4229,2024-07,2024,7,summer,Sunday,Cloudy,False,False,True,0.7162953165706099,0.6269859428794179,False,False
3307,2024-08-03,3,72,19.7,20.2,0.0,0.0,12.874522222222222,15.41515,Saturday,Cloudy,61,26.5,30.6,0.0,6.8,83,12.59677222222222,14.2238,2024-08,2024,8,summer,Saturday,Light Rain,False,False,True,0.8351863084188101,0.8856122992605506,True,True
3308,2024-08-04,61,78,19.6,19.7,7.5,0.0,6.541341666666667,15.358505555555556,Sunday,Light Rain,63,24.3,27.5,0.0,17.3,88,6.125397222222222,14.188472222222222,2024-08,2024,8,summer,Sunday,Rain,False,False,True,0.4259100368199886,0.43171647562085813,False,False
3314,2024-08-10,51,69,20.7,20.2,0.1,0.0,13.715461111111113,15.004188888888889,Saturday,Light Drizzle,61,25.5,27.4,0.0,1.7,71,12.826944444444443,13.966105555555556,2024-08,2024,8,summer,Saturday,Light Rain,False,False,True,0.9141088007275007,0.918433875028392,True,True
3315,2024-08-11,3,63,20.8,20.3,0.0,0.0,12.0,14.943288888888889,Sunday,Cloudy,51,23.0,23.8,0.0,0.3,65,12.053241666666668,13.927652777777778,2024-08,2024,8,summer,Sunday,Light Drizzle,False,False,True,0.8030360711906348,0.8654180183108944,True,True
3321,2024-08-17,3,70,23.3,25.0,0.0,0.0,12.499205555555555,14.571725,Saturday,Cloudy,53,23.4,25.1,0.0,1.0,85,8.64793888888889,13.691708333333334,2024-08,2024,8,summer,Saturday,Drizzle,False,False,True,0.8577711668011546,0.6316186905497346,True,False
3322,2024-08-18,51,78,20.7,21.4,0.1,0.0,5.994994444444444,14.509227777777776,Sunday,Light Drizzle,63,23.0,24.4,0.0,11.8,88,4.0214083333333335,13.651808333333332,2024-08,2024,8,summer,Sunday,Rain,False,False,True,0.41318494245616105,0.2945696449249398,False,False
3328,2024-08-24,3,58,25.2,24.8,0.0,0.0,12.744008333333332,14.128516666666668,Saturday,Cloudy,3,22.0,22.2,0.0,0.0,65,12.097086111111112,13.407116666666669,2024-08,2024,8,summer,Saturday,Cloudy,False,False,True,0.902006108213766,0.9022884197903186,True,True
3329,2024-08-25,3,56,21.8,20.1,0.0,0.0,7.186597222222222,14.063466666666669,Sunday,Cloudy,51,22.9,23.2,0.0,0.1,66,12.0,13.365105555555555,2024-08,2024,8,summer,Sunday,Light Drizzle,False,False,True,0.5110117862515327,0.8978604733137994,False,True
